batch_index,batch_id,acceptance_role,pump_rpm,spray_rate_g_min_gun,spray_rate_total_g_min_reported,T_inlet_C,air_cfm,RH_inlet_fraction,atomisation_bar,pan_rpm,T_exhaust_meas_C,alpha_ee_output,alpha_avg_ee_output,ee_factor_ee_output,RH_exhaust_ee_output,stage_time_min,solution_sprayed_kg,no_of_guns,solids_fraction,P_total_kPa,solution_mass_nominal_kg,total_sprayed_kg,cycle_time_h,weight_gain_pct,assay_pct,source,entered_by,confirmed_against_excel
1,E2600199,calibration,7,32.72,196.3,56.507,2800.63,0.05,2.0,1.0,48.519,0.149,0.097,4.6446,0.102,55,10.8,6,0.15,101.325,77.215,81.3,5.8,3.13,101.6,screenshot_5819572C,claude_transcription,False
1,E2600199,calibration,8,36.95,221.7,56.507,2801.01,0.05,2.0,2.0,49.0,0.094,0.097,4.9451,0.103,74,16.4,6,0.15,101.325,77.215,81.3,5.8,3.13,101.6,screenshot_5819572C,claude_transcription,False
1,E2600199,calibration,9,41.17,247.0,56.514,2800.62,0.05,2.0,2.0,49.373,0.046,0.097,5.2053,0.104,219,54.1,6,0.15,101.325,77.215,81.3,5.8,3.13,101.6,screenshot_5819572C,claude_transcription,False
2,UNKNOWN_B2,development,7,32.68,196.1,56.565,2804.13,0.05,2.0,1.0,48.783,0.139,0.116,4.7723,0.101,24,4.71,6,0.15,101.325,77.21,75.39,5.2,3.19,100.1,screenshot_5819572C,claude_transcription,False
2,UNKNOWN_B2,development,8,36.95,221.7,56.538,2800.54,0.05,2.0,2.0,49.0,0.096,0.116,4.9279,0.103,40,8.87,6,0.15,101.325,77.21,75.39,5.2,3.19,100.1,screenshot_5819572C,claude_transcription,False
2,UNKNOWN_B2,development,9,41.21,247.3,56.534,2799.84,0.05,2.0,2.0,48.04,0.114,0.116,4.3647,0.112,250,61.82,6,0.15,101.325,77.21,75.39,5.2,3.19,100.1,screenshot_5819572C,claude_transcription,False
3,UNKNOWN_B3,development,7,32.75,196.5,56.595,2802.65,0.05,2.0,1.0,48.405,0.16,0.125,4.5334,0.103,38,7.47,6,0.15,101.325,77.21,81.7,5.7,3.02,100.9,screenshot_5819572C,claude_transcription,False
3,UNKNOWN_B3,development,8,36.9,221.4,56.622,2801.91,0.05,2.0,2.0,49.0,0.101,0.125,4.8816,0.103,46,10.19,6,0.15,101.325,77.21,81.7,5.7,3.02,100.9,screenshot_5819572C,claude_transcription,False
3,UNKNOWN_B3,development,9,41.06,246.3,56.552,2798.68,0.05,2.0,2.0,48.066,0.114,0.125,4.3707,0.112,260,64.05,6,0.15,101.325,77.21,81.7,5.7,3.02,100.9,screenshot_5819572C,claude_transcription,False
4,UNKNOWN_B4,SEALED,7,32.59,195.5,56.6,2803.38,0.05,2.0,1.0,47.725,0.198,0.139,4.1772,0.106,41,8.02,6,0.15,101.325,77.21,72.06,5.1,3.15,101.2,screenshot_5819572C,claude_transcription,False
4,UNKNOWN_B4,SEALED,8,36.73,220.4,56.561,2801.32,0.05,2.0,2.0,48.947,0.101,0.139,4.8802,0.103,58,12.78,6,0.15,101.325,77.21,72.06,5.1,3.15,101.2,screenshot_5819572C,claude_transcription,False
4,UNKNOWN_B4,SEALED,9,40.88,245.3,56.519,2798.88,0.05,2.0,2.0,48.005,0.117,0.139,4.3528,0.112,209,51.26,6,0.15,101.325,77.21,72.06,5.1,3.15,101.2,screenshot_5819572C,claude_transcription,False
